id,y
0,76
1,72
2,73
3,56
4,76
5,68
6,78
7,63
8,71
9,64
10,73
11,63
12,65
13,73
14,80
15,75
16,61
17,75
18,72
19,69
20,64
21,63
22,76
23,72
24,73
25,64
26,63
27,82
28,76
29,75
30,56
31,71
32,66
33,70
34,67
35,66
36,76
37,62
38,72
39,70
40,73
41,76
42,66
43,65
44,67
45,64
46,81
47,77
48,82
49,76
50,57
51,61
52,62
53,61
54,65
55,70
56,82
57,60
58,63
59,72
60,80
61,78
62,74
63,67
64,69
65,64
66,78
67,75
68,65
69,66
70,80
71,64
72,77
73,75
74,62
75,69
76,68
77,73
78,75
79,61
80,70
81,73
82,77
83,62
84,69
85,71
86,74
87,83
88,72
89,60
90,75
91,66
92,75
93,70
94,78
95,70
96,76
97,76
98,65
99,64
100,71
101,73
102,82
103,72
104,78
105,68
106,80
107,75
108,76
109,79
110,64
111,76
112,64
113,66
114,64
115,64
116,78
117,66
118,64
119,71
120,69
121,67
122,71
123,80
124,62
125,63
126,58
127,72
128,66
129,77
130,78
131,76
132,71
133,62
134,69
135,67
136,68
137,66
138,59
139,71
140,59
141,67
142,66
143,80
144,79
145,74
146,69
147,72
148,64
149,69
150,70
151,67
152,65
153,69
154,72
155,72
156,74
157,80
158,63
159,75
160,65
161,67
162,74
163,58
164,65
165,64
166,69
167,65
168,77
169,74
170,67
171,75
172,66
173,60
174,70
175,65
176,69
177,72
178,62
179,68
180,73
181,78
182,77
183,75
184,78
185,74
186,66
187,63
188,67
189,59
190,70
191,73
192,76
193,56
194,69
195,77
196,72
197,77
198,76
199,77
200,56
201,73
202,76
203,71
204,76
205,72
206,80
207,60
208,62
209,63
210,68
211,72
212,73
213,78
214,56
215,59
216,69
217,73
218,58
219,79
220,71
221,78
222,60
223,60
224,75
225,76
226,73
227,76
228,71
229,71
230,74
231,73
232,53
233,77
234,59
235,72
236,71
237,61
238,75
239,70
240,67
241,57
242,68
243,80
244,70
245,59
246,72
247,80
248,78
249,65
250,68
251,66
252,74
253,62
254,65
255,74
256,80
257,84
258,62
259,74
260,70
261,78
262,62
263,65
264,73
265,68
266,83
267,73
268,72
269,60
270,71
271,63
272,67
273,62
274,69
275,68
276,73
277,72
278,80
279,73
280,75
281,80
282,68
283,73
284,67
285,82
286,81
287,77
288,74
289,65
290,66
291,63
292,71
293,80
294,71
295,67
296,67
297,58
298,64
299,65
300,73
301,66
302,75
303,75
304,77
305,67
306,74
307,55
308,69
309,76
310,63
311,74
312,74
313,72
314,75
315,63
316,57
317,77
318,62
319,69
320,66
321,77
322,68
323,75
324,74
325,62
326,79
327,77
328,66
329,71
330,76
331,60
332,74
333,74
334,79
335,64
336,67
337,72
338,68
339,72
340,65
341,70
342,65
343,71
344,73
345,60
346,73
347,63
348,55
349,67
350,63
351,72
352,65
353,77
354,68
355,79
356,72
357,63
358,74
359,80
360,69
361,68
362,67
363,70
364,83
365,55
366,72
367,57
368,63
369,74
370,62
371,70
372,75
373,72
374,80
375,60
376,80
377,72
378,77
379,64
380,71
381,78
382,80
383,73
384,71
385,77
386,68
387,68
388,59
389,75
390,71
391,53
392,74
393,61
394,76
395,68
396,68
397,80
398,59
399,76
400,72
401,64
402,70
403,73
404,77
405,70
406,62
407,69
408,69
409,77
410,72
411,68
412,69
413,84
414,60
415,71
416,78
417,75
418,70
419,57
420,71
421,66
422,63
423,65
424,73
425,75
426,66
427,79
428,70
429,82
430,64
431,63
432,77
433,62
434,69
435,68
436,77
437,62
438,76
439,75
440,63
441,62
442,61
443,65
444,62
445,75
446,77
447,80
448,79
449,63
450,67
451,66
452,65
453,67
454,70
455,61
456,66
457,74
458,76
459,70
460,74
461,61
462,68
463,77
464,71
465,78
466,68
467,64
468,67
469,76
470,70
471,64
472,73
473,74
474,74
475,62
476,73
477,68
478,71
479,68
480,66
481,66
482,66
483,67
484,66
485,73
486,72
487,71
488,66
489,78
490,75
491,75
492,84
493,68
494,74
495,61
496,64
497,61
498,67
499,69
500,66
501,68
502,67
503,78
504,76
505,74
506,75
507,78
508,72
509,67
510,70
511,60
512,60
513,71
514,73
515,72
516,72
517,78
518,63
519,65
520,81
521,62
522,66
523,67
524,65
525,70
526,63
527,71
528,66
529,70
530,80
531,65
532,65
533,73
534,66
535,62
536,77
537,75
538,73
539,62
540,59
541,80
542,63
543,71
544,70
545,61
546,78
547,72
548,66
549,70
550,76
551,65
552,61
553,61
554,68
555,76
556,72
557,64
558,62
559,76
560,72
561,79
562,68
563,65
564,76
565,79
566,75
567,59
568,67
569,68
570,73
571,67
572,74
573,71
574,63
575,73
576,61
577,73
578,77
579,58
580,78
581,63
582,72
583,69
584,77
585,73
586,63
587,78
588,71
589,72
590,71
591,72
592,78
593,83
594,68
595,66
596,68
597,73
598,79
599,78
600,61
601,76
602,57
603,65
604,62
605,59
606,72
607,73
608,78
609,61
610,63
611,80
612,81
613,63
614,80
615,66
616,57
617,60
618,63
619,65
620,77
621,62
622,81
623,65
624,71
625,68
626,71
627,74
628,77
629,70
630,69
631,71
632,72
633,62
634,73
635,79
636,62
637,72
638,67
639,66
640,82
641,76
642,66
643,63
644,65
645,76
646,76
647,69
648,65
649,62
650,74
651,73
652,80
653,61
654,65
655,63
656,70
657,63
658,80
659,79
660,67
661,65
662,60
663,78
664,61
665,74
666,71
667,83
668,73
669,66
670,59
671,77
672,58
673,59
674,71
675,64
676,69
677,62
678,66
679,63
680,64
681,60
682,75
683,73
684,66
685,66
686,78
687,59
688,65
689,80
690,66
691,72
692,63
693,78
694,74
695,60
696,70
697,63
698,79
699,75
700,68
701,72
702,62
703,64
704,75
705,74
706,66
707,61
708,65
709,61
710,80
711,74
712,60
713,64
714,64
715,71
716,64
717,69
718,69
719,69
720,66
721,79
722,67
723,79
724,68
725,74
726,63
727,65
728,64
729,58
730,76
731,72
732,76
733,69
734,77
735,67
736,66
737,70
738,72
739,79
740,64
741,63
742,76
743,59
744,73
745,64
746,65
747,68
748,69
749,73
750,79
751,68
752,65
753,70
754,66
755,84
756,70
757,77
758,61
759,65
760,74
761,72
762,67
763,63
764,80
765,75
766,72
767,77
768,70
769,65
770,80
771,61
772,60
773,78
774,70
775,70
